actor,country,description,genre,original_title,public,score,time,title,year
"Aaron Eckhart,Heath Ledger,Christian Bale","United States,United Kingdom","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action,Crime,Drama",Batman Begins 2,PG-13,9.0,2h 32m,The Dark Knight,2008
"Henry Fonda,Martin Balsam,Lee J. Cobb",United States,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Crime,Drama",Twelve Angry Men,Approved,9.0,1h 36m,12 Angry Men,1957
"Robert De Niro,Al Pacino,Robert Duvall",United States,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime,Drama",Mario Puzo's the Godfather Part II,R,9.0,3h 22m,The Godfather Part II,1974
"Ralph Fiennes,Ben Kingsley,Liam Neeson",United States,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography,Drama,History",La lista de Schindler,R,9.0,3h 15m,Schindler's List,1993
"Marlon Brando,James Caan,Al Pacino",United States,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Crime,Drama",Mario Puzo's The Godfather,R,9.2,2h 55m,The Godfather,1972
"Uma Thurman,John Travolta,Samuel L. Jackson",United States,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama",Black Mask,R,8.9,2h 34m,Pulp Fiction,1994
"Tim Robbins,Morgan Freeman,Bob Gunton",United States,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,Rita Hayworth and Shawshank Redemption,R,9.3,2h 22m,The Shawshank Redemption,1994
"Viggo Mortensen,Elijah Wood,Ian McKellen","New Zealand,United States",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action,Adventure,Drama",The Return of the King,PG-13,9.0,3h 21m,The Lord of the Rings: The Return of the King,2003
"Elijah Wood,Orlando Bloom,Ian McKellen","New Zealand,United States",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action,Adventure,Drama",The Fellowship of the Ring,PG-13,8.8,2h 58m,The Lord of the Rings: The Fellowship of the Ring,2001
"Lee Van Cleef,Clint Eastwood,Eli Wallach","Italy,Spain,West Germany",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Adventure,Western","The Good, the Ugly, the Bad",Approved,8.8,2h 58m,"The Good, the Bad and the Ugly",1966
"Viggo Mortensen,Elijah Wood,Ian McKellen","New Zealand,United States","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action,Adventure,Drama",The Two Towers,PG-13,8.8,2h 59m,The Lord of the Rings: The Two Towers,2002
