country,genre,original_title,public,score,stars,storyline,time,title,year
United States,"Animation,Action,Adventure",,TV-Y7-FV,9.3,"Mae Whitman,Zach Tyler Eisen,Dee Bradley Baker","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23,Avatar: The Last Airbender,2005–2008
"United Kingdom,United States,China,France,Germany",Documentary,,TV-G,9.3,"David Attenborough,Roger Munns,Peter Drost","David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans fa...",364,Blue Planet II,2017
United States,"Crime,Drama,Thriller",,TV-MA,9.3,"Sonja Sohn,Lance Reddick,Dominic West","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59,The Wire,2002–2008
"United Kingdom,Germany,France,China,United States",Documentary,,TV-G,9.5,"David Attenborough,Chadden Hunter,Gordon Buchanan",David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,298,Planet Earth II,2016
United Kingdom,Documentary,,TV-PG,9.4,"David Attenborough,Nikolay Drozdov,Sigourney Weaver","A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plain...",538,Planet Earth,2006
United States,"Crime,Drama,Thriller",,TV-MA,9.5,"Aaron Paul,Anna Gunn,Bryan Cranston",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,49,Breaking Bad,2008–2013
"United States,United Kingdom","Drama,History,Thriller",,TV-MA,9.4,"Stellan Skarsgård,Jessie Buckley,Jared Harris","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",330,Chernobyl,2019
United States,"Crime,Drama",,TV-MA,9.2,"Edie Falco,James Gandolfini,Lorraine Bracco","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseli...",55,The Sopranos,1999–2007
"United Kingdom,United States","Drama,History,War",,TV-MA,9.4,"Scott Grimes,Ron Livingston,Damian Lewis","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",594,Band of Brothers,2001
United States,Documentary,,TV-PG,9.3,"Keythe Farley,Neil deGrasse Tyson,Christopher Emerson",An exploration of our discovery of the laws of nature and coordinates in space and time.,557,Cosmos: A Spacetime Odyssey,2014
"United States,United Kingdom",Documentary,,TV-G,9.3,,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and di...",403,Our Planet,2019
United Kingdom,"Documentary,History,War",,TV-PG,9.2,"Albert Speer,Laurence Olivier,Averell Harriman","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",52,The World at War,1973–1974
"United States,United Kingdom",Documentary,,TV-PG,9.3,"Jonathan Fahn,Jaromír Hanzlík,Carl Sagan",Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,780,Cosmos,1980
"United States,United Kingdom","Action,Adventure,Drama",,TV-MA,9.2,"Kit Harington,Peter Dinklage,Emilia Clarke","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",57,Game of Thrones,2011–2019
Japan,"Animation,Action,Adventure",Hagane no renkinjutsushi,TV-14,9.1,"Iemasa Kayumi,Matthew Leonhart,Kent Williams",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24,Fullmetal Alchemist: Brotherhood,2009–2010
United States,"Documentary,Biography,Crime",,TV-MA,8.5,"Bono,Stevie Nicks,Tom Petty","""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain ...",60,The Defiant Ones,2017
United States,"Animation,Adventure,Comedy",,TV-14,9.1,"Justin Roiland,Spencer Grammer,Chris Parnell",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23,Rick and Morty,2013– 
United Kingdom,Comedy,,TV-PG,8.5,"Tamsin Greig,Bill Bailey,Dylan Moran","Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many ...",25,Black Books,2000–2004
Japan,"Animation,Action,Comedy",,TV-14,8.7,"Daisuke Sakaguchi,Tomokazu Sugita,Rie Kugimiya","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",25,Gintama,2005–2021
United Kingdom,"Game-Show,Reality-TV",The Great British Bake Off,TV-PG,8.6,"Prue Leith,Mary Berry,Paul Hollywood",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,60,The Great British Baking Show,2010– 
United States,"Crime,Drama,Mystery",,TV-MA,8.5,"Nicole Kidman,Reese Witherspoon,Shailene Woodley",The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach ...,60,Big Little Lies,2017–2019
United States,"Drama,History",,TV-MA,8.5,"Clive Owen,André Holland,Jeremy Bobb",A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,58,The Knick,2014–2015
United States,"Crime,Drama,Thriller",,TV-MA,8.5,"Regina King,Michael Cudlitz,Shawn Hatosy",The lives of Police Officers working for the Los Angeles Police Department.,42,Southland,2009–2013
United Kingdom,"Crime,Drama,Mystery",,TV-14,8.6,"Honeysuckle Weeks,Michael Kitchen,Anthony Howell","As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the after...",90,Foyle's War,2002–2015
